,TRB,STL,Pos,G,Player,Year,PTS,BLK,Tm,AST,FG,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
5781,330.0,120.0,SF,82.0,M.L. Carr,1980.0,914.0,36.0,BOS,156.0,362.0,8.624390243902438,2.180487804878049,10.804878048780488,11.146341463414634,1.9024390243902438,4.024390243902439,0.43902439024390244,1.4634146341463414,4.414634146341464
5782,13.0,4.0,SG,10.0,Bob Carrington,1980.0,36.0,1.0,SDC,3.0,15.0,2.73,0.67,3.4,3.6,0.3,1.3,0.1,0.4,1.5
5783,19.0,2.0,SG,13.0,Ron Carter,1980.0,32.0,3.0,IND,9.0,15.0,1.9769230769230768,0.7,2.6769230769230767,2.4615384615384617,0.6923076923076923,1.4615384615384615,0.23076923076923078,0.15384615384615385,1.1538461538461537
5784,726.0,48.0,C,82.0,Bill Cartwright,1980.0,1781.0,101.0,NYK,165.0,665.0,16.417073170731705,4.086585365853659,20.503658536585363,21.71951219512195,2.0121951219512195,8.853658536585366,1.2317073170731707,0.5853658536585366,8.109756097560975
5785,410.0,23.0,C,72.0,Harvey Catchings,1980.0,233.0,162.0,MIL,82.0,97.0,2.6277777777777778,3.048611111111111,5.676388888888889,3.236111111111111,1.1388888888888888,5.694444444444445,2.25,0.3194444444444444,1.3472222222222223
5786,73.0,31.0,SG,60.0,Don Chaney,1980.0,167.0,11.0,BOS,38.0,67.0,2.1866666666666665,0.6966666666666667,2.8833333333333333,2.783333333333333,0.6333333333333333,1.2166666666666666,0.18333333333333332,0.5166666666666667,1.1166666666666667
5787,274.0,183.0,PG,79.0,Maurice Cheeks,1980.0,898.0,32.0,PHI,556.0,357.0,9.81645569620253,2.20379746835443,12.02025316455696,11.367088607594937,7.037974683544304,3.4683544303797467,0.4050632911392405,2.3164556962025316,4.518987341772152
5788,78.0,33.0,SG,43.0,Phil Chenier,1980.0,326.0,15.0,TOT,89.0,136.0,6.03720930232558,1.0604651162790697,7.09767441860465,7.5813953488372094,2.0697674418604652,1.813953488372093,0.3488372093023256,0.7674418604651163,3.1627906976744184
5789,43.0,18.0,SG,20.0,Phil Chenier,1980.0,202.0,5.0,WSB,42.0,84.0,7.909999999999999,1.2049999999999998,9.114999999999998,10.1,2.1,2.15,0.25,0.9,4.2
5790,35.0,15.0,SG,23.0,Phil Chenier,1980.0,124.0,10.0,IND,47.0,52.0,4.408695652173913,0.9347826086956522,5.343478260869565,5.391304347826087,2.0434782608695654,1.5217391304347827,0.43478260869565216,0.6521739130434783,2.260869565217391
5791,564.0,56.0,C,82.0,Jim Chones,1980.0,869.0,65.0,LAL,151.0,372.0,8.240243902439024,3.1939024390243906,11.434146341463414,10.597560975609756,1.8414634146341464,6.878048780487805,0.7926829268292683,0.6829268292682927,4.536585365853658
5792,152.0,57.0,PG,79.0,Jim Cleamons,1980.0,519.0,11.0,TOT,288.0,214.0,5.5987341772151895,1.0278481012658227,6.6265822784810124,6.569620253164557,3.6455696202531644,1.9240506329113924,0.13924050632911392,0.7215189873417721,2.7088607594936707
5793,19.0,13.0,PG,22.0,Jim Cleamons,1980.0,75.0,2.0,NYK,40.0,30.0,2.8863636363636362,0.55,3.4363636363636365,3.409090909090909,1.8181818181818181,0.8636363636363636,0.09090909090909091,0.5909090909090909,1.3636363636363635
5794,133.0,44.0,PG,57.0,Jim Cleamons,1980.0,444.0,9.0,WSB,248.0,184.0,6.645614035087719,1.2122807017543862,7.857894736842105,7.7894736842105265,4.350877192982456,2.3333333333333335,0.15789473684210525,0.7719298245614035,3.2280701754385963
5795,94.0,30.0,SG,36.0,Doug Collins,1980.0,495.0,7.0,PHI,100.0,191.0,10.711111111111112,1.3527777777777779,12.06388888888889,13.75,2.7777777777777777,2.611111111111111,0.19444444444444445,0.8333333333333334,5.305555555555555
5796,241.0,28.0,PF,66.0,Jeff Cook,1980.0,362.0,18.0,PHO,84.0,129.0,4.289393939393939,1.66969696969697,5.959090909090909,5.484848484848484,1.2727272727272727,3.6515151515151514,0.2727272727272727,0.42424242424242425,1.9545454545454546
5797,229.0,86.0,SG,82.0,Michael Cooper,1980.0,722.0,38.0,LAL,221.0,303.0,7.0719512195121945,1.5707317073170732,8.642682926829268,8.804878048780488,2.6951219512195124,2.792682926829268,0.4634146341463415,1.048780487804878,3.6951219512195124
5798,507.0,20.0,PF,79.0,Wayne Cooper,1980.0,871.0,79.0,GSW,42.0,367.0,8.288607594936709,2.9430379746835444,11.231645569620254,11.025316455696203,0.5316455696202531,6.417721518987341,1.0,0.25316455696202533,4.6455696202531644
5799,156.0,61.0,SF,75.0,Hollis Copeland,1980.0,427.0,25.0,NYK,80.0,182.0,4.441333333333333,1.176,5.617333333333333,5.693333333333333,1.0666666666666667,2.08,0.3333333333333333,0.8133333333333334,2.4266666666666667
5800,270.0,9.0,C,78.0,Dave Corzine,1980.0,225.0,31.0,WSB,63.0,90.0,2.296153846153846,1.5384615384615385,3.8346153846153843,2.8846153846153846,0.8076923076923077,3.4615384615384617,0.3974358974358974,0.11538461538461539,1.1538461538461537
5801,19.0,7.0,SF,24.0,John Coughran,1980.0,68.0,1.0,GSW,12.0,29.0,2.204166666666666,0.4166666666666667,2.6208333333333327,2.8333333333333335,0.5,0.7916666666666666,0.041666666666666664,0.2916666666666667,1.2083333333333333
5802,534.0,69.0,C,66.0,Dave Cowens*,1980.0,940.0,61.0,BOS,206.0,422.0,11.233333333333333,3.8272727272727276,15.06060606060606,14.242424242424242,3.121212121212121,8.090909090909092,0.9242424242424242,1.0454545454545454,6.393939393939394
5803,116.0,74.0,PG,81.0,Charlie Criss,1980.0,671.0,4.0,ATL,246.0,249.0,6.71358024691358,0.8617283950617285,7.575308641975308,8.283950617283951,3.037037037037037,1.4320987654320987,0.04938271604938271,0.9135802469135802,3.074074074074074
5804,1.0,0.0,PG,4.0,Terry Crosby,1980.0,6.0,0.0,KCK,7.0,2.0,1.4499999999999997,0.1,1.5499999999999998,1.5,1.75,0.25,0.0,0.0,0.5
5805,238.0,22.0,C,71.0,Pat Cummings,1980.0,468.0,17.0,MIL,53.0,187.0,5.026760563380281,1.5056338028169012,6.532394366197183,6.591549295774648,0.7464788732394366,3.352112676056338,0.23943661971830985,0.30985915492957744,2.6338028169014085
